,accuracy,model,time_train,time_inference,scaling_name,dataset_name
0,0.9532163742690059,LR,0.0033011436462402344,0.00011324882507324219,MinMaxScaler,breast_cancer_wisconsin_diagnostic
1,0.9326334208223972,LR,0.0021698474884033203,9.107589721679688e-05,MinMaxScaler,breast_cancer_wisconsin_original
2,0.5230769230769231,LR,0.0052433013916015625,6.890296936035156e-05,MinMaxScaler,glass_identification
3,0.6043956043956044,LR,0.004978179931640625,6.437301635742188e-05,MinMaxScaler,heart_disease
4,1.0,LR,0.002004861831665039,6.29425048828125e-05,MinMaxScaler,iris
5,0.7521666666666667,LR,0.383026123046875,0.0007100105285644531,MinMaxScaler,letter_recognition
6,0.9473684210526315,LR,0.0014252662658691406,6.389617919921875e-05,MaxAbsScaler,breast_cancer_wisconsin_diagnostic
7,0.9221347331583553,LR,0.0038559436798095703,6.723403930664062e-05,MaxAbsScaler,breast_cancer_wisconsin_original
8,0.5230769230769231,LR,0.0037126541137695312,6.246566772460938e-05,MaxAbsScaler,glass_identification
9,0.6043956043956044,LR,0.005774497985839844,6.270408630371094e-05,MaxAbsScaler,heart_disease
10,0.9629629629629629,LR,0.0035517215728759766,6.198883056640625e-05,MaxAbsScaler,iris
11,0.7521666666666667,LR,0.34714198112487793,0.0004916191101074219,MaxAbsScaler,letter_recognition
12,0.9766081871345029,LR,0.0012879371643066406,5.8650970458984375e-05,StandardScaler,breast_cancer_wisconsin_diagnostic
13,0.9335083114610674,LR,0.001613616943359375,6.031990051269531e-05,StandardScaler,breast_cancer_wisconsin_original
14,0.5692307692307692,LR,0.002057790756225586,5.698204040527344e-05,StandardScaler,glass_identification
15,0.5824175824175825,LR,0.0020220279693603516,6.031990051269531e-05,StandardScaler,heart_disease
16,1.0,LR,0.0013840198516845703,5.555152893066406e-05,StandardScaler,iris
17,0.7813333333333333,LR,0.17482757568359375,0.0005304813385009766,StandardScaler,letter_recognition
18,0.9590643274853801,LR,0.0029048919677734375,0.000720977783203125,ParetoScaling,breast_cancer_wisconsin_diagnostic
19,0.9361329833770778,LR,0.005597591400146484,0.00036072731018066406,ParetoScaling,breast_cancer_wisconsin_original
20,0.5692307692307692,LR,0.0032012462615966797,0.00046634674072265625,ParetoScaling,glass_identification
21,0.5824175824175825,LR,0.008042573928833008,0.0004112720489501953,ParetoScaling,heart_disease
22,0.9814814814814815,LR,0.003472566604614258,0.00037741661071777344,ParetoScaling,iris
23,0.7815,LR,0.2702016830444336,0.0011203289031982422,ParetoScaling,letter_recognition
24,0.9473684210526315,LR,0.003138303756713867,0.0005388259887695312,StandardStabilityScaling,breast_cancer_wisconsin_diagnostic
25,0.937007874015748,LR,0.005941629409790039,0.0003478527069091797,StandardStabilityScaling,breast_cancer_wisconsin_original
26,0.5538461538461539,LR,0.006738185882568359,0.00042748451232910156,StandardStabilityScaling,glass_identification
27,0.5824175824175825,LR,0.007014274597167969,0.00038623809814453125,StandardStabilityScaling,heart_disease
28,1.0,LR,0.005215167999267578,0.00038743019104003906,StandardStabilityScaling,iris
29,0.781,LR,0.3126702308654785,0.001165151596069336,StandardStabilityScaling,letter_recognition
30,0.9590643274853801,LR,0.005120754241943359,0.0005228519439697266,MeanCentered,breast_cancer_wisconsin_diagnostic
31,0.9361329833770778,LR,0.007989645004272461,0.00033974647521972656,MeanCentered,breast_cancer_wisconsin_original
32,0.5538461538461539,LR,0.0024535655975341797,0.0003542900085449219,MeanCentered,glass_identification
33,0.5934065934065934,LR,0.007121086120605469,0.00038814544677734375,MeanCentered,heart_disease
34,0.9814814814814815,LR,0.006158351898193359,0.00037288665771484375,MeanCentered,iris
35,0.7803333333333333,LR,0.3154897689819336,0.001256704330444336,MeanCentered,letter_recognition
36,0.9590643274853801,LR,0.0074040889739990234,0.00045108795166015625,None,breast_cancer_wisconsin_diagnostic
37,0.937007874015748,LR,0.008563756942749023,0.0003604888916015625,None,breast_cancer_wisconsin_original
38,0.5538461538461539,LR,0.006773710250854492,0.0003070831298828125,None,glass_identification
39,0.5824175824175825,LR,0.00736689567565918,0.0003352165222167969,None,heart_disease
40,0.9444444444444444,LR,0.006829500198364258,0.0003516674041748047,None,iris
41,0.7688333333333334,LR,0.3343467712402344,0.0012791156768798828,None,letter_recognition
42,0.9649122807017544,LR,0.0013301372528076172,5.817413330078125e-05,RobustScaler,breast_cancer_wisconsin_diagnostic
43,0.931758530183727,LR,0.0018410682678222656,6.008148193359375e-05,RobustScaler,breast_cancer_wisconsin_original
44,0.5538461538461539,LR,0.002388477325439453,5.7697296142578125e-05,RobustScaler,glass_identification
45,0.5824175824175825,LR,0.0030477046966552734,5.91278076171875e-05,RobustScaler,heart_disease
46,1.0,LR,0.0012784004211425781,5.435943603515625e-05,RobustScaler,iris
47,0.7808333333333334,LR,0.230116605758667,0.0005970001220703125,RobustScaler,letter_recognition
48,0.9707602339181286,LR,0.0013263225555419922,5.650520324707031e-05,QuantileTransformer,breast_cancer_wisconsin_diagnostic
49,0.9300087489063867,LR,0.002353191375732422,6.413459777832031e-05,QuantileTransformer,breast_cancer_wisconsin_original
50,0.5846153846153846,LR,0.0029745101928710938,6.67572021484375e-05,QuantileTransformer,glass_identification
51,0.5824175824175825,LR,0.004421710968017578,5.841255187988281e-05,QuantileTransformer,heart_disease
52,1.0,LR,0.0017571449279785156,5.7220458984375e-05,QuantileTransformer,iris
53,0.7548333333333334,LR,0.3277575969696045,0.0006330013275146484,QuantileTransformer,letter_recognition
54,0.631578947368421,LR,0.0015213489532470703,0.0005652904510498047,DecimalScaling,breast_cancer_wisconsin_diagnostic
