,r2score,mae,mse,model,time_train,time_inference,scaling_name,dataset_name
0,0.5130430966612229,1.5240466002554167,5.133991528361276,SVR,0.1384446620941162,0.06604504585266113,MinMaxScaler,abalone
1,0.9791964554315252,1.0376132270721221,34.39817632199057,SVR,0.5931026935577393,0.2753329277038574,MinMaxScaler,air_quality
2,-0.015080985065222041,45.69213044210699,11381.650800749967,SVR,3.6353437900543213,2.698829412460327,MinMaxScaler,appliances_energy_prediction
3,0.6026226045134179,8.107123098819311,102.00668981117872,SVR,0.008450508117675781,0.0040700435638427734,MinMaxScaler,concrete_compressive_strength
4,-0.036856524616078135,18.13781188328653,8531.898747295423,SVR,0.002596139907836914,0.001065969467163086,MinMaxScaler,forest_fires
5,0.5281822218694256,6.083721259123629,80.4091787073073,SVR,0.0016510486602783203,0.0007112026214599609,MinMaxScaler,real_estate_valuation
6,0.3609196334404602,0.5393957445634118,0.4955883787520697,SVR,0.3102583885192871,0.1426708698272705,MinMaxScaler,wine_quality
7,0.5105294612495073,1.5275304400173066,5.1604928117821585,SVR,0.13235926628112793,0.06514739990234375,MaxAbsScaler,abalone
8,0.9620247570043382,1.279148053021129,62.791179653813245,SVR,0.5568552017211914,0.2649648189544678,MaxAbsScaler,air_quality
9,-0.03703445050638132,46.84612924024041,11627.805227040943,SVR,3.555805206298828,1.8074588775634766,MaxAbsScaler,appliances_energy_prediction
10,0.5819496214787452,8.358765058994953,107.31343999838414,SVR,0.008402347564697266,0.004061460494995117,MaxAbsScaler,concrete_compressive_strength
11,-0.037105438389366086,18.14700202891855,8533.946964247414,SVR,0.002428770065307617,0.0010585784912109375,MaxAbsScaler,forest_fires
12,0.5383022396089401,6.0054391816904715,78.68448253718432,SVR,0.0016720294952392578,0.0007379055023193359,MaxAbsScaler,real_estate_valuation
13,0.3103890768105556,0.5692447500075274,0.5347733669758019,SVR,0.29947638511657715,0.14824891090393066,MaxAbsScaler,wine_quality
14,0.536522276169608,1.4962784863974128,4.886450302715971,SVR,0.13050270080566406,0.06405329704284668,StandardScaler,abalone
15,0.9446166138206883,1.4731394906315631,91.57513888242804,SVR,0.4403824806213379,0.19925212860107422,StandardScaler,air_quality
16,0.003224633417927114,44.88854705727191,11176.398057045413,SVR,3.5920908451080322,2.2392311096191406,StandardScaler,appliances_energy_prediction
17,0.637701149343789,7.636570587692912,93.00203508702744,SVR,0.00835871696472168,0.004066944122314453,StandardScaler,concrete_compressive_strength
18,-0.036491987934819115,18.129814072444276,8528.899113324533,SVR,0.0027112960815429688,0.0010607242584228516,StandardScaler,forest_fires
19,0.5295034508632097,6.113101759278036,80.18400928131534,SVR,0.0016663074493408203,0.0007245540618896484,StandardScaler,real_estate_valuation
20,0.37347980676595727,0.5283030954560161,0.48584832685728474,SVR,0.3198084831237793,0.14168977737426758,StandardScaler,wine_quality
21,0.5420390484630068,1.4902444470048666,4.828286916954289,SVR,0.13091087341308594,0.06477141380310059,ParetoScaling,abalone
22,0.9618518287421634,1.2672448545815795,63.07711250692713,SVR,0.4030590057373047,0.1783137321472168,ParetoScaling,air_quality
23,-0.006882408228015224,45.51932710839779,11289.723811675092,SVR,3.567667007446289,1.8700368404388428,ParetoScaling,appliances_energy_prediction
24,0.6286920742549167,7.743942947888905,95.31466267610034,SVR,0.008739233016967773,0.004355907440185547,ParetoScaling,concrete_compressive_strength
25,-0.03764775576386081,18.159703957425602,8538.409488056868,SVR,0.002858400344848633,0.001338958740234375,ParetoScaling,forest_fires
26,0.5688646530569708,5.828014763508735,73.47590694173654,SVR,0.0019004344940185547,0.0009427070617675781,ParetoScaling,real_estate_valuation
27,0.33500877353503755,0.5581918062897927,0.5156815027541886,SVR,0.31833648681640625,0.1509549617767334,ParetoScaling,wine_quality
28,0.5156404521583269,1.5245545765013102,5.1066075832383175,SVR,0.13161444664001465,0.0647897720336914,StandardStabilityScaling,abalone
29,0.9961378689919843,0.4755134845101692,6.385943652778704,SVR,0.3595108985900879,0.1531383991241455,StandardStabilityScaling,air_quality
30,-0.060387944662226634,47.572909551848056,11889.657551505585,SVR,3.740478754043579,1.861057996749878,StandardStabilityScaling,appliances_energy_prediction
31,0.40297654607012,10.065127993221054,153.25578899738946,SVR,0.008740663528442383,0.0043752193450927734,StandardStabilityScaling,concrete_compressive_strength
32,-0.03718464085069728,18.155351943087013,8534.598691236224,SVR,0.002779722213745117,0.0013275146484375,StandardStabilityScaling,forest_fires
33,0.40045229531419535,7.412207721394887,102.17745232205941,SVR,0.0019137859344482422,0.0009531974792480469,StandardStabilityScaling,real_estate_valuation
34,0.20548300434866806,0.6092573525830677,0.6161249983089956,SVR,0.31025028228759766,0.1514263153076172,StandardStabilityScaling,wine_quality
35,0.5329988463913176,1.5004399695926043,4.923597858297361,SVR,0.13147711753845215,0.06503462791442871,MeanCentered,abalone
36,0.9804112365154029,0.9537134507864621,32.38956409832337,SVR,0.40463685989379883,0.17358779907226562,MeanCentered,air_quality
37,-0.023594306725775338,46.40939368254916,11477.10688328968,SVR,3.5438027381896973,1.8121337890625,MeanCentered,appliances_energy_prediction
38,0.5891023163676588,8.18793265046959,105.47734479736246,SVR,0.008729696273803711,0.00430607795715332,MeanCentered,concrete_compressive_strength
39,-0.03898733414861133,18.132223543440183,8549.432370077107,SVR,0.0028090476989746094,0.0013232231140136719,MeanCentered,forest_fires
40,0.5514434783481255,6.173367824636355,76.44489712265992,SVR,0.0019080638885498047,0.0009403228759765625,MeanCentered,real_estate_valuation
